入替日,2025/11/13,,,,,
入替時刻,15:34,,,,,
ホール名,台番号,種類,機種名,検定番号,貸出単価,表示単価
タイホー　双葉店,315,P,Ｐ地獄少女　Ｌｉｇｈｔ　ＦＶＢ,2P1485,4.16,500円/120玉
タイホー　双葉店,316,P,ＰＡフィーバー機動戦士ガンダムユニコーンｂＹ,1P0892,4.16,500円/120玉
タイホー　双葉店,317,P,Ｐ宇宙戦艦ヤマト２２０２　ＯＮＬＹ　ＯＮＥ　ＹＲ,2P0416,4.16,500円/120玉
タイホー　双葉店,318,P,Ｐルパン三世１３７ＹＲ２,4P0177,4.16,500円/120玉
タイホー　双葉店,320,P,ＰＡわんわんセレブレーションＡＧＢＤ,410261,4.16,500円/120玉
タイホー　双葉店,321,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮Ｙ,1P1294,4.16,500円/120玉
タイホー　双葉店,322,P,Ｐ宇宙戦艦ヤマト２２０２ｂＨ,1P0316,4.16,500円/120玉
タイホー　双葉店,323,P,ＰＡＣＹＢＯＲＧ００９Ｎ－Ｘ１,9P1321,4.16,500円/120玉
タイホー　双葉店,325,P,Ｐとある魔術の禁書目録２　Ｌｉｇｈｔ　ＪＷＸ,410608,4.16,500円/120玉
タイホー　双葉店,326,P,Ｐルパン三世ＬＡＳＴＧＯＬＤ９ＡＵ１,9P0729,4.16,500円/120玉
タイホー　双葉店,327,P,Ｐリング　呪いの７日間３　Ｌｉｇｈｔ　ＪＶＺ,410140,4.16,500円/120玉
タイホー　双葉店,328,P,ＰビッグドリームＳＳＰＨ,310100,4.16,500円/120玉
タイホー　双葉店,330,P,Ｐフィーバーありふれた職業で世界最強ＹＲ,310204,4.16,500円/120玉
タイホー　双葉店,331,P,Ｐ真・花の慶次３Ｎ－Ｋ,3P0969,4.16,500円/120玉
タイホー　双葉店,332,P,Ｐゴブリンスレイヤー　ラッキートリガーＶｅｒＪＶＲ,310612,4.16,500円/120玉
タイホー　双葉店,333,P,ＰＡ野生の王国５　Ｎ－Ｋ,1P0836,4.16,500円/120玉
タイホー　双葉店,335,P,Ｐ花の慶次～裂Ｎ２－ＶＣ,410576,4.16,500円/120玉
タイホー　双葉店,336,P,Ｐ貞子ＦＭＤ,3P1869,4.16,500円/120玉
タイホー　双葉店,337,P,Ｐ貞子ＦＭＤ,3P1869,4.16,500円/120玉
タイホー　双葉店,338,P,Ｐサラリーマン金太郎　ＦＭＹ,210040,4.16,500円/120玉
タイホー　双葉店,350,P,Ｐとある魔術の禁書目録ＪＵＡ,0P0703,4.16,500円/120玉
